feature,mean_class_0,mean_class_1,difference_1_minus_0,direction_hint,importance,importance_pct
term_60,0.2035616636276245,0.39223912358283997,0.18867745995521545,higher_value_more_risky,0.18772025,0.18772025
LTI,0.4564468562602997,0.3845653235912323,-0.07188153266906738,lower_value_more_risky,0.15590028,0.15590028
dti,17.81770896911621,20.163732528686523,2.3460235595703125,higher_value_more_risky,0.1101169,0.1101169
home_ownership_RENT,0.381375789642334,0.46221745014190674,0.08084166049957275,higher_value_more_risky,0.077987894,0.077987894
verification_status_Verified,0.29575496912002563,0.3719080984592438,0.07615312933921814,higher_value_more_risky,0.074965596,0.074965596
tot_cur_bal,11.24581241607666,11.062512397766113,-0.18330001831054688,lower_value_more_risky,0.06056546,0.06056546
verification_status_Source Verified,0.3827703893184662,0.40695080161094666,0.02418041229248047,higher_value_more_risky,0.049943738,0.049943738
annual_inc,11.102805137634277,11.012751579284668,-0.09005355834960938,lower_value_more_risky,0.04372388,0.04372388
loan_amnt,14136.6103515625,15557.0478515625,1420.4375,higher_value_more_risky,0.043207243,0.043207243
flag_high_dti,0.02240559086203575,0.03975418582558632,0.017348594963550568,higher_value_more_risky,0.03971131,0.03971131
purpose_credit_card,0.2276870161294937,0.1858236938714981,-0.041863322257995605,lower_value_more_risky,0.03946455,0.03946455
flag_any_derog,0.1632339358329773,0.19322144985198975,0.02998751401901245,higher_value_more_risky,0.02986856,0.02986856
pub_rec,0.20715677738189697,0.24698899686336517,0.0398322194814682,higher_value_more_risky,0.023470208,0.023470208
flag_recent_dpd,0.052600592374801636,0.06218487396836281,0.009584281593561172,higher_value_more_risky,0.015754491,0.015754491
num_tl_90g_dpd_24m,0.08165992796421051,0.0956726148724556,0.014012686908245087,higher_value_more_risky,0.015646137,0.015646137
purpose_debt_consolidation,0.5713744759559631,0.6142507791519165,0.04287630319595337,higher_value_more_risky,0.014781594,0.014781594
home_ownership_OWN,0.10654587298631668,0.11124095320701599,0.00469508022069931,higher_value_more_risky,0.012485763,0.012485763
purpose_home_improvement,0.06704723834991455,0.05788309872150421,-0.00916413962841034,lower_value_more_risky,0.0033150387,0.0033150387
flag_very_high_dti,0.002782264491543174,0.004762680735439062,0.0019804162438958883,higher_value_more_risky,0.0013711194,0.0013711194
home_ownership_OTHER,0.0003622982185333967,0.0003165809321217239,-4.571728641167283e-05,lower_value_more_risky,0.0,0.0
