config,device,threshold,val_auc,test_auc,pr_auc,recall_bad,precision_bad,f1_bad,balanced_score,name,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,scale_pos_weight
cfg5,cuda,0.35,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.927648241954708,0.2252658046951669,0.36250304748250656,0.6384875322186269,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg3,cuda,0.35,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.9009237187127532,0.23278732700710258,0.36997720911023757,0.6326119323105832,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg1,cuda,0.35,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.9039034564958284,0.23134303458992092,0.3683988812016835,0.6326010576601571,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg2,cuda,0.35,0.6754046688452093,0.675095926732831,0.34336803781546527,0.9027115613825983,0.2318602103732475,0.3689548739690888,0.6325716880378653,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg6,cuda,0.35,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.9019293802145412,0.23187670268743327,0.36891036993871806,0.6323911464859706,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg4,cuda,0.35,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.8711077175208581,0.239286463369092,0.3754419620103302,0.6243329863110382,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
cfg5,cuda,0.4,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.8637142431466031,0.24190612302380046,0.37795570767882974,0.6234674121583539,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg3,cuda,0.4,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.8238974970202623,0.250945868525693,0.3847140515415955,0.6140437011824835,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg6,cuda,0.4,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.824810041716329,0.25024013198784084,0.3839831456290478,0.6138462022616089,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg2,cuda,0.4,0.6754046688452093,0.675095926732831,0.34336803781546527,0.8246238081048868,0.2501285129219037,0.3838315541281461,0.6137124376917159,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg1,cuda,0.4,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.8250335220500596,0.24962388221174164,0.38328135071182307,0.6135102892318817,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg5,cuda,0.45,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.773092967818832,0.2620591261749796,0.3914324644158734,0.6013192803478173,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg4,cuda,0.4,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.7743221096543504,0.2606264613147288,0.38998813471089494,0.6006323034374952,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
cfg3,cuda,0.45,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.7217669845053635,0.27312384160564906,0.39628824867711343,0.5889490406980029,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg6,cuda,0.45,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.7225119189511323,0.2729133692096655,0.3961787277062665,0.588825074737506,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg2,cuda,0.45,0.6754046688452093,0.675095926732831,0.34336803781546527,0.722064958283671,0.27278483684410487,0.3959761017208804,0.5886088637259015,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg1,cuda,0.45,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.7220277115613826,0.27280147483077444,0.39598802945652506,0.5884029442400368,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg5,cuda,0.5,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.6605706197854588,0.2863670859504933,0.3995314207188637,0.5736395658816837,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg4,cuda,0.45,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.6569763110846245,0.28564603761973784,0.3981715059680013,0.5716834579428296,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
cfg3,cuda,0.5,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.6068794696066746,0.2997553168003532,0.4012979656174573,0.5611406550270723,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg6,cuda,0.5,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.6054827175208581,0.2994041753768798,0.40067781988477064,0.5603390158502273,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg2,cuda,0.5,0.6754046688452093,0.675095926732831,0.34336803781546527,0.6046819129916567,0.29951294208807633,0.40059962245993264,0.5600759764492901,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg1,cuda,0.5,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.6028195768772348,0.2993083424259797,0.4000074146389689,0.5592672207335938,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg5,cuda,0.55,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.5405616805721096,0.3146654524955553,0.39777990955187065,0.5447114757539445,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg4,cuda,0.5,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.5346766984505363,0.3139523439806664,0.39560984684070194,0.5420701507428354,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
cfg3,cuda,0.55,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.48588349225268174,0.3280234356337302,0.3916447126462663,0.5319088915292187,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg6,cuda,0.55,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.48407702622169246,0.3276318443077544,0.39077815863852305,0.5309742256931962,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg2,cuda,0.55,0.6754046688452093,0.675095926732831,0.34336803781546527,0.4831086114421931,0.32783591143463753,0.39060711919532615,0.5306847283210913,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg1,cuda,0.55,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.4823450536352801,0.3278273526991963,0.390351240759301,0.5302546163293115,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg5,cuda,0.6,0.6755272700008011,0.6752813521298284,0.34358787251031025,0.4234393623361144,0.34513274336283184,0.3802968848003345,0.517191602999965,cfg5,450,4,0.035,0.8,0.8,3,1.5,0.1,4.410184711003516
cfg4,cuda,0.55,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.4199754171632896,0.3452863989220805,0.3789861100607527,0.5154932800920148,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
cfg3,cuda,0.6,0.6758876528706059,0.6758621887666258,0.3444798304642678,0.37572631108462456,0.36108028779038553,0.36825773478141827,0.5071259502179654,cfg3,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014
cfg6,cuda,0.6,0.6754178150128891,0.6752070149994442,0.3434252074782784,0.37295143027413585,0.3612779852429146,0.3670219102513585,0.5060480821427193,cfg6,800,4,0.02,0.95,0.85,5,3.0,0.25,4.009258828185014
cfg2,cuda,0.6,0.6754046688452093,0.675095926732831,0.34336803781546527,0.3724299761620977,0.36166672695048285,0.36696944673823284,0.505938841616024,cfg2,600,4,0.025,0.9,0.85,5,2.5,0.3,4.009258828185014
cfg1,cuda,0.6,0.6749569851287287,0.6746539156976186,0.3429156210218271,0.37157330154946366,0.3614296324475119,0.3664312803607012,0.5054236606406455,cfg1,400,4,0.03,0.85,0.85,4,2.0,0.2,4.009258828185014
cfg4,cuda,0.6,0.6740785874204748,0.6737312338055729,0.34198058608239457,0.31207166269368297,0.3811094179990448,0.3431526135258281,0.4920779085203739,cfg4,700,3,0.02,0.9,0.9,4,2.0,0.15,3.6083329453665125
